Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,E170,1,74957
Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,11,4369561
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A320,1268,181183419
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,74,10522652
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,1549,116108393
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A332,12,4761600
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,130,18492354
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A321,1,174606
French Bee,BF,French Bee,BF,International,Europe,Passenger,Wide Body,Airbus,A359,15,6845355
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,37,5413100
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,154,22176000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,29,4123742
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B763,3,960000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,5,2300520
WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,19,2779700
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,265,118100000
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,433,68110900
ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Passenger,Narrow Body,Airbus,A320,26,3707069
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,142,31808000
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,392,67235840
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,40,5912810
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,18,7650000
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,45,14670000
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,2,275578
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,43,13330000
China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,40,19680000
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B739,53,8336900
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,9,1210338
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,15,8310000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,60,33240000
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,143,20420296
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B788,36,13680000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,2,275578
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,157,66725000
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,31,19530000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,265,38769500
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Boeing,B738,146,22308800
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,23,12742000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,882,151263000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,32,12160000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,26,16896000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,1,470000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A321,8,1372160
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,124,68696000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,4,1400000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,155,24018500
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E175,16,1199312
Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,13,5359432
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,24,6526000
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,2,275578
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,58,8485400
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,333,25034274
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,184,26496000
Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,123,9237300
Alaska Airlines,AS,Alaska Airlines,AS,International,US,Passenger,Narrow Body,Airbus,A321,209,36492654
Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1176,150528000
Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,20,2940970
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,10,4188780
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,32,20123043
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A319,366,50430408
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,1695,127052115
EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,91,50414000
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,53,7606600
Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,40,19680000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,8,4432000
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B789,24,10200000
Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,62,24876942
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,97,13793206
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B789,5,2125000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,52,8020414
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,40,15200000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,100,14322317
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,7,941374
Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A333,2,815710
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,35,10850000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,31,21142000
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,3,413367
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,912,156408000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,23,12742000
Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,18,5760000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,141,20304000
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B789,58,24650000
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B773,1,554000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,15,2572800
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,2,850000
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,20,5440000
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,80,11704000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,30,14760000
JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,389,66721280
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,18,2646433
Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,5,1997387
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,13,5216133
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,289,21726442
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,26,14404000
Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,147,20919641
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,31,13175000
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,155,65875000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,26,16904000
Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A319,406,55941928
WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,B738,19,2779700
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A332,4,1604964
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1680,236551461
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,13,5359432
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,26,3532909
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,187,26928000
Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B789,8,3400000
All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26768515
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A320,1464,209285717
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,2,920208
SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ2,796,37412000
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,5,2350000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B788,32,12160000
Alaska Airlines,AS,Alaska Airlines,AS,International,US,Passenger,Narrow Body,Airbus,A321,189,33000534
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,7,995386
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,31,17700907
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,472,74245600
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,4,512000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,57,8956100
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,47,6876100
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,4,2608000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,47,6876100
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B789,17,7225000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,127,19724100
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,35,19390000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,153,34272000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B739,1278,200899400
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,4,551156
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,51,7461300
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,39,12480000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,31,19530000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,11,6094000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,626,123948000
Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16471000
Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,124,9312400
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14010388
Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,18,8214426
Finnair,AY,Finnair,AY,International,Asia,Passenger,Wide Body,Airbus,A333,1,412264
Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,88,12704200
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,126,69804000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,3,960000
Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,31,21328000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,256,28160000
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,1,137789
SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,27,9450000
Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,21,178500
SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A343,31,13121897
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A321,7,1200640
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,62,28520000
Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Boeing,B763,34,11084000
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,13,5445414
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A333,2,824520
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B744,31,19530000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,264,117495000
Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,21,3067953
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1278,186971400
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,314,62172000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,25,9500000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,31,26722217
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,31,13175000
ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Passenger,Narrow Body,Airbus,A320,27,3855881
Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,307,44393900
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,2,292600
XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A332,13,5202906
